,Date,pH,COD (mg/L),BOD (mg/L),TSS,Oil & Grease (mg/L),Ammonical Nitrogen (mg/L)
251,2020-09-08,7.3,872,292,780,12.8,83.3
252,2020-09-09,7.3,872,292,780,12.8,83.3
253,2020-09-10,7.3,872,292,780,12.8,83.3
254,2020-09-11,7.3,872,292,780,12.8,83.3
255,2020-09-12,7.3,872,292,780,12.8,83.3
256,2020-09-13,7.3,872,292,780,12.8,83.3
257,2020-09-14,7.3,872,292,780,12.8,83.3
258,2020-09-15,7.3,872,292,780,12.8,83.3
259,2020-09-16,7.3,872,292,780,12.8,83.3
260,2020-09-17,7.3,872,292,780,12.8,83.3
261,2020-09-18,7.3,872,292,780,12.8,83.3
262,2020-09-19,7.3,872,292,780,12.8,83.3
263,2020-09-20,7.3,872,292,780,12.8,83.3
264,2020-09-21,7.3,872,292,780,12.8,83.3
265,2020-09-22,7.3,872,292,780,12.8,83.3
266,2020-09-23,7.3,872,292,780,12.8,83.3
267,2020-09-24,7.3,872,292,780,12.8,83.3
268,2020-09-25,7.3,872,292,780,12.8,83.3
269,2020-09-26,7.3,872,292,780,12.8,83.3
270,2020-09-27,7.3,872,292,780,12.8,83.3
271,2020-09-28,7.3,872,292,780,12.8,83.3
272,2020-09-29,7.3,872,292,780,12.8,83.3
273,2020-09-30,7.3,872,292,780,12.8,83.3
274,2020-10-01,7.2,548,140,352,26.0,97.0
275,2020-10-02,7.2,548,140,352,26.0,97.0
276,2020-10-03,7.2,548,140,352,26.0,97.0
277,2020-10-04,7.2,548,140,352,26.0,97.0
278,2020-10-05,7.2,548,140,352,26.0,97.0
279,2020-10-06,7.2,548,140,352,26.0,97.0
280,2020-10-07,7.2,548,140,352,26.0,97.0
281,2020-10-08,7.2,548,140,352,26.0,97.0
282,2020-10-09,7.2,548,140,352,26.0,97.0
283,2020-10-10,7.2,548,140,352,26.0,97.0
284,2020-10-11,7.2,548,140,352,26.0,97.0
285,2020-10-12,7.2,548,140,352,26.0,97.0
286,2020-10-13,7.2,548,140,352,26.0,97.0
287,2020-10-14,7.2,548,140,352,26.0,97.0
288,2020-10-15,7.2,548,140,352,26.0,97.0
289,2020-10-16,7.2,548,140,352,26.0,97.0
290,2020-10-17,7.2,548,140,352,26.0,97.0
291,2020-10-18,7.2,548,140,352,26.0,97.0
292,2020-10-19,7.2,548,140,352,26.0,97.0
293,2020-10-20,7.2,548,140,352,26.0,97.0
294,2020-10-21,7.2,548,140,352,26.0,97.0
295,2020-10-22,7.2,548,140,352,26.0,97.0
296,2020-10-23,7.2,548,140,352,26.0,97.0
297,2020-10-24,7.2,548,140,352,26.0,97.0
298,2020-10-25,7.2,548,140,352,26.0,97.0
299,2020-10-26,7.2,548,140,352,26.0,97.0
300,2020-10-27,7.2,548,140,352,26.0,97.0
301,2020-10-28,7.2,548,140,352,26.0,97.0
302,2020-10-29,7.2,548,140,352,26.0,97.0
303,2020-10-30,7.2,548,140,352,26.0,97.0
304,2020-10-31,7.2,548,140,352,26.0,97.0
305,2020-11-01,7.4,664,220,424,15.6,55.9
306,2020-11-02,7.4,664,220,424,15.6,55.9
307,2020-11-03,7.4,664,220,424,15.6,55.9
308,2020-11-04,7.4,664,220,424,15.6,55.9
309,2020-11-05,7.4,664,220,424,15.6,55.9
310,2020-11-06,7.4,664,220,424,15.6,55.9
311,2020-11-07,7.4,664,220,424,15.6,55.9
312,2020-11-08,7.4,664,220,424,15.6,55.9
313,2020-11-09,7.4,664,220,424,15.6,55.9
314,2020-11-10,7.4,664,220,424,15.6,55.9
315,2020-11-11,7.4,664,220,424,15.6,55.9
316,2020-11-12,7.4,664,220,424,15.6,55.9
317,2020-11-13,7.4,664,220,424,15.6,55.9
318,2020-11-14,7.4,664,220,424,15.6,55.9
319,2020-11-15,7.4,664,220,424,15.6,55.9
320,2020-11-16,7.4,664,220,424,15.6,55.9
321,2020-11-17,7.4,664,220,424,15.6,55.9
322,2020-11-18,7.4,664,220,424,15.6,55.9
323,2020-11-19,7.4,664,220,424,15.6,55.9
324,2020-11-20,7.4,664,220,424,15.6,55.9
325,2020-11-21,7.4,664,220,424,15.6,55.9
326,2020-11-22,7.4,664,220,424,15.6,55.9
327,2020-11-23,7.4,664,220,424,15.6,55.9
328,2020-11-24,7.4,664,220,424,15.6,55.9
329,2020-11-25,7.4,664,220,424,15.6,55.9
330,2020-11-26,7.4,664,220,424,15.6,55.9
331,2020-11-27,7.4,664,220,424,15.6,55.9
332,2020-11-28,7.4,664,220,424,15.6,55.9
333,2020-11-29,7.4,664,220,424,15.6,55.9
334,2020-11-30,7.4,664,220,424,15.6,55.9
335,2020-12-01,6.6,304,76,128,16.0,56.1
336,2020-12-02,6.6,304,76,128,16.0,56.1
337,2020-12-03,6.6,304,76,128,16.0,56.1
338,2020-12-04,6.6,304,76,128,16.0,56.1
339,2020-12-05,6.6,304,76,128,16.0,56.1
340,2020-12-06,6.6,304,76,128,16.0,56.1
341,2020-12-07,6.6,304,76,128,16.0,56.1
342,2020-12-08,6.6,304,76,128,16.0,56.1
343,2020-12-09,6.6,304,76,128,16.0,56.1
344,2020-12-10,6.6,304,76,128,16.0,56.1
345,2020-12-11,6.6,304,76,128,16.0,56.1
346,2020-12-12,6.6,304,76,128,16.0,56.1
347,2020-12-13,6.6,304,76,128,16.0,56.1
348,2020-12-14,6.6,304,76,128,16.0,56.1
349,2020-12-15,6.6,304,76,128,16.0,56.1
350,2020-12-16,6.6,304,76,128,16.0,56.1
351,2020-12-17,6.6,304,76,128,16.0,56.1
352,2020-12-18,6.6,304,76,128,16.0,56.1
353,2020-12-19,6.6,304,76,128,16.0,56.1
354,2020-12-20,6.6,304,76,128,16.0,56.1
355,2020-12-21,6.6,304,76,128,16.0,56.1
356,2020-12-22,6.6,304,76,128,16.0,56.1
357,2020-12-23,6.6,304,76,128,16.0,56.1
358,2020-12-24,6.6,304,76,128,16.0,56.1
359,2020-12-25,6.6,304,76,128,16.0,56.1
360,2020-12-26,6.6,304,76,128,16.0,56.1
361,2020-12-27,6.6,304,76,128,16.0,56.1
362,2020-12-28,6.6,304,76,128,16.0,56.1
363,2020-12-29,6.6,304,76,128,16.0,56.1
